F,t,#ev,,ap
47.86,234.21,9865,60,25
48.45,211.08,9267,57,25
47.84,237.36,9991,59,25
50.74,119.04,5073,57,25
48.57,217.15,9813,57,25
49.72,154.99,7392,55,25
48.38,217.83,9993,58,25
49.51,224.31,9736,57,25
47.20,220.25,9946,59,25
47.59,202.27,8771,57,25
49.44,201.14,8246,59,25
48.99,190.96,8540,58,25
50.04,222.24,9979,57,25
49.88,174.59,7603,55,25
47.10,203.63,9011,58,25
47.41,230.70,9993,58,25
46.57,227.26,9907,60,25
47.70,209.98,9957,57,25
46.58,226.54,9951,59,25
47.30,238.65,9918,58,25
51.04,141.22,5586,56,25
47.98,216.68,9931,59,25
47.42,207.15,9810,59,25
50.48,150.53,6880,57,25
47.64,213.38,9979,57,25
48.96,232.84,9920,59,25
49.79,209.04,9578,56,25
48.67,231.69,9794,58,25
47.79,234.80,9430,57,25
49.22,247.92,9878,60,25
49.27,212.46,9978,59,25
49.93,211.62,9589,58,25
49.31,203.82,9983,57,25
48.40,223.66,9985,60,25
48.68,203.80,8606,58,25
48.41,176.54,7964,58,25
47.95,224.89,9881,59,25
48.89,237.73,9900,59,25
47.54,229.15,9022,60,25
47.37,214.55,9652,59,25
49.38,161.09,7192,58,25
51.03,151.83,6813,56,25
48.92,181.89,8475,58,25
48.98,221.57,9871,58,25
47.96,232.24,9959,58,25
48.79,186.75,9234,57,25
48.18,231.36,9439,59,25
48.40,232.30,9909,58,25
47.93,216.68,9992,57,25
50.31,167.96,7616,57,25
48.68,193.25,9595,59,25
48.72,228.60,9709,60,25
50.61,122.92,5538,58,25
48.77,225.08,9785,61,25
49.18,187.22,8840,57,25
50.16,138.67,6340,58,25
48.33,183.45,7999,58,25
47.65,230.12,9979,59,25
48.17,162.36,7258,57,25
51.20,150.69,6699,57,25
50.75,112.42,5086,56,25
48.68,215.04,9853,58,25
46.98,220.47,9948,59,25
48.50,240.79,9976,58,25
48.65,224.29,9985,56,25
49.57,227.16,9646,59,25
47.72,226.61,9602,59,25
48.43,237.44,9937,60,25
48.59,176.15,7755,57,25
47.78,224.37,9990,59,25
49.41,173.65,7630,58,25
49.44,151.86,6640,57,25
49.47,155.12,6830,58,25
50.33,169.81,6972,59,25
49.66,181.05,8064,57,25
48.59,220.08,9959,59,25
48.78,135.50,6508,56,25
48.32,200.11,8736,58,25
50.04,130.58,6264,56,25
47.73,173.30,6553,57,25
47.26,181.08,8316,58,25
49.18,167.09,7302,59,25
49.19,158.17,9844,58,25
49.67,202.53,9577,56,25
47.92,225.12,9812,59,25
47.87,206.74,9614,58,25
47.11,211.35,9357,59,25
47.85,204.86,9504,58,25
49.29,161.13,6701,57,25
48.67,198.23,9022,58,25
49.66,160.17,7335,57,25
48.82,161.76,7060,58,25
47.23,223.10,9275,58,25
47.83,178.50,7362,57,25
48.32,233.78,8932,58,25
51.40,128.73,5568,58,25
46.68,222.47,9668,59,25
47.17,206.69,9335,59,25
47.48,207.35,8982,59,25
48.15,181.20,8030,57,25
48.01,224.24,9825,59,25
48.62,212.11,9661,59,25
49.78,127.45,5402,57,25
49.17,174.31,7899,59,25
47.69,228.71,9769,59,25
48.26,182.03,7947,58,25
47.96,184.68,7942,59,25
48.56,150.93,6855,59,25
49.17,130.87,5490,56,25
46.97,154.76,7298,56,25
48.25,175.28,8149,57,25
49.76,171.96,7560,59,25
49.81,121.73,7583,58,25
47.29,211.89,9849,58,25
47.72,197.53,8320,60,25
47.45,214.19,9695,58,25
48.09,190.19,9683,58,25
