F,t,#ev,,ap
48.34,234.30,9999,59,25
49.54,161.91,6333,56,25
47.46,241.61,9953,60,25
49.34,191.75,8006,60,25
47.75,207.26,9632,58,25
49.13,189.55,8534,57,25
48.23,178.80,7305,60,25
47.20,178.61,8160,57,25
51.17,181.29,7514,56,25
46.86,232.48,9805,58,25
46.29,221.20,9169,57,25
46.84,221.05,9746,57,25
48.56,204.68,7958,58,25
49.03,205.55,8906,59,25
46.89,211.27,9183,59,25
48.68,232.75,9567,58,25
49.06,229.41,9736,56,25
47.16,223.68,9627,57,25
48.04,218.54,9788,57,25
49.00,245.26,9942,59,25
48.77,216.49,9997,58,25
48.26,154.74,6315,58,25
48.13,153.06,9893,57,25
48.77,157.08,6181,57,25
47.43,220.47,9661,59,25
47.93,232.99,9850,59,25
47.04,238.45,9899,59,25
46.63,230.67,9848,58,25
47.35,220.81,9970,57,25
46.00,246.76,9726,60,25
50.31,130.47,5463,56,25
48.21,230.31,9999,57,25
47.76,186.13,8790,58,25
47.19,190.29,8317,59,25
48.80,156.55,7621,58,25
47.67,225.94,9903,59,25
47.16,208.39,8603,62,25
48.11,177.79,7985,58,25
49.72,224.76,9984,57,25
47.86,168.81,6687,58,25
46.80,202.23,9306,58,25
49.00,143.12,6204,57,25
48.63,206.81,8559,59,25
48.99,202.65,8656,60,25
48.20,222.54,9906,58,25
50.93,147.14,6430,58,25
47.33,220.78,9231,57,25
48.93,203.74,9997,57,25
48.59,160.37,6834,57,25
48.53,188.27,8559,58,25
49.49,162.99,7514,57,25
49.65,174.07,7609,59,25
48.66,136.89,8241,59,25
47.18,213.56,9352,59,25
50.19,162.20,7030,57,25
49.16,156.70,6906,57,25
49.95,171.96,7630,58,25
48.62,192.87,8898,57,25
48.06,197.18,8072,57,25
48.96,162.58,6933,58,25
47.59,217.27,9440,59,25
48.29,224.08,9832,59,25
47.79,147.01,6573,58,25
49.29,183.50,7878,58,25
47.87,216.84,8902,60,25
47.52,230.03,9814,59,25
48.98,200.80,9761,59,25
48.33,199.29,8738,59,25
48.66,198.70,8780,57,25
47.55,241.91,9912,60,25
46.89,217.58,9954,58,25
48.27,159.85,6963,58,25
47.49,222.08,9247,60,25
47.98,227.20,9941,60,25
49.48,225.09,9953,58,25
49.99,140.23,5555,58,25
49.89,143.62,6055,56,25
49.89,218.68,9886,58,25
46.53,215.30,9921,58,25
51.07,114.99,4349,56,25
48.46,136.93,7651,57,25
49.16,205.68,9652,58,25
47.78,107.84,7612,59,25
48.92,208.85,9036,60,25
48.52,236.27,9952,61,25
48.14,246.44,9933,59,25
47.42,205.99,9025,59,25
50.56,170.56,6896,57,25
49.35,154.45,7010,57,25
49.44,199.05,8206,58,25
47.68,231.13,9755,61,25
46.37,211.41,9993,59,25
48.90,227.95,9926,60,25
49.09,171.59,7444,57,25
49.63,129.98,5330,57,25
47.94,193.74,8721,60,25
48.93,167.81,7027,59,25
46.95,172.78,7004,60,25
48.70,159.26,6425,58,25
47.76,201.69,8827,58,25
46.78,232.53,9858,58,25
50.72,127.95,5294,57,25
47.59,194.54,7514,58,25
47.74,171.09,7818,59,25
47.57,231.77,9984,60,25
47.84,212.61,9689,60,25
49.85,126.80,5634,55,25
46.87,218.33,9536,59,25
49.99,158.11,6930,56,25
48.85,141.02,5337,58,25
47.88,207.03,9893,58,25
48.83,218.65,9310,58,25
47.90,96.14,6448,58,25
47.48,245.58,9726,60,25
47.91,218.65,9277,60,25
46.99,234.06,9980,61,25
49.48,218.51,9672,58,25
49.54,148.15,6195,58,25
47.08,221.31,9894,59,25
47.67,198.52,9024,59,25
49.66,132.39,5398,58,25
47.83,241.31,9980,60,25
47.37,200.11,8312,61,25
47.80,226.01,9568,57,25
48.49,174.15,7295,60,25
49.05,150.75,6374,57,25
48.13,183.51,8245,60,25
47.99,226.68,9959,59,25
46.67,195.66,8302,59,25
47.46,171.37,6648,59,25
47.03,207.09,9504,59,25
48.64,212.66,9062,58,25
47.17,200.29,8695,60,25
50.46,152.18,7066,57,25
49.23,156.86,6635,57,25
49.09,197.26,8673,58,25
47.75,165.45,7093,56,25
48.16,227.74,9974,59,25
47.96,168.21,7968,57,25
47.79,238.35,9985,61,25
47.56,228.47,9973,58,25
48.28,226.11,9903,60,25
46.38,141.82,8150,59,25
48.06,190.66,7888,59,25
48.05,213.85,9624,60,25
47.58,243.03,9677,60,25
47.26,212.66,9237,60,25
47.76,183.56,7373,58,25
46.97,214.25,9205,58,25
47.83,180.02,7591,59,25
47.93,204.29,9007,58,25
48.08,172.13,7294,57,25
50.04,133.15,5244,57,25
47.79,233.34,9878,58,25
47.96,183.40,7872,59,25
47.64,175.62,7649,61,25
47.65,229.64,9977,60,25
50.35,180.68,8212,57,25
48.80,141.98,5930,57,25
47.25,183.55,7975,59,25
47.55,212.74,8976,58,25
48.15,214.11,9477,57,25
47.18,223.31,9877,58,25
47.37,222.36,9809,60,25
47.82,217.10,9884,57,25
48.68,178.72,7278,59,25
46.88,216.00,9059,58,25
46.35,206.82,8621,58,25
47.56,204.82,9324,58,25
48.17,185.94,7953,60,25
47.99,124.44,6672,57,25
46.51,204.00,8572,58,25
46.93,123.40,8480,59,25
48.60,195.68,7773,59,25
48.50,247.38,9905,58,25
47.48,235.14,9919,60,25
47.30,205.32,8364,60,25
46.43,227.91,9835,59,25
46.57,216.69,9120,59,25
48.21,235.27,9308,60,25
46.29,232.10,9933,60,25
47.40,198.06,8452,58,25
46.15,223.78,9982,61,25
47.45,216.03,9570,58,25
49.43,170.89,6816,59,25
48.45,175.29,8305,58,25
47.27,210.39,9431,59,25
48.17,182.01,7897,58,25
46.96,190.25,8070,59,25
47.83,186.25,7851,59,25
47.09,197.41,8737,57,25
47.19,204.91,8755,57,25
48.16,223.51,9986,56,25
48.05,214.69,9737,59,25
47.67,192.98,8150,57,25
47.11,227.94,9969,60,25
46.54,201.46,9069,59,25
48.17,193.08,7765,57,25
47.05,219.17,9833,58,25
47.19,234.46,9878,61,25
49.38,125.99,5795,56,25
48.59,207.05,9541,59,25
48.94,133.00,9928,58,25
47.46,239.81,9891,60,25
47.50,224.42,9862,60,25
49.18,168.34,7567,58,25
48.43,204.15,8664,58,25
48.63,158.41,6857,57,25
46.87,205.83,9151,59,25
48.09,211.61,9232,60,25
47.40,235.66,9994,60,25
48.22,227.90,9959,58,25
46.36,224.03,9468,60,25
47.07,238.94,9979,59,25
49.25,263.28,9994,60,25
48.35,203.01,8453,60,25
47.43,234.19,9709,58,25
48.21,220.09,9632,60,25
48.18,245.33,9074,59,25
48.49,226.28,9989,59,25
49.49,196.22,8903,56,25
48.09,227.85,9954,58,25
47.54,227.43,9981,58,25
47.88,223.03,9982,59,25
47.58,198.85,8472,57,25
48.63,242.67,9580,57,25
48.90,215.54,9566,57,25
47.29,213.93,8975,59,25
47.32,227.08,9818,56,25
47.10,234.91,9834,62,25
49.51,179.67,8561,57,25
48.05,232.76,9981,58,25
48.94,131.18,8654,56,25
47.35,229.44,9945,59,25
48.02,208.59,8637,60,25
47.54,245.06,9989,60,25
50.08,235.13,9897,58,25
47.46,230.32,9555,59,25
47.38,210.51,8302,59,25
48.18,220.02,9194,59,25
51.14,228.86,9964,58,25
49.31,154.60,6283,57,25
48.49,229.96,9960,58,25
49.22,235.05,9964,58,25
48.13,257.30,9998,63,25
49.45,215.59,9818,58,25
50.17,231.34,9993,58,25
49.89,226.30,9970,59,25
48.38,225.28,9750,58,25
48.27,226.74,9226,58,25
48.31,228.53,9683,58,25
48.06,223.86,9398,58,25
48.92,225.64,9968,57,25
49.06,255.72,9997,61,25
49.04,234.34,9976,57,25
52.88,219.57,9927,56,25
49.92,225.26,9971,57,25
49.10,219.91,9572,58,25
47.61,229.51,9395,58,25
47.93,236.99,9992,58,25
47.44,214.59,9747,57,25
49.65,222.09,9911,58,25
49.09,163.15,9865,59,25
49.02,237.93,9942,58,25
49.67,232.54,9966,59,25
47.69,247.82,9980,61,25
49.33,232.01,9974,57,25
48.59,253.31,9969,60,25
48.37,234.36,9965,60,25
48.60,231.82,9919,61,25
50.14,226.28,9656,59,25
49.74,238.67,9875,58,25
49.92,227.72,9984,59,25
50.42,243.86,9989,58,25
48.80,234.74,9970,61,25
49.47,216.09,9322,60,25
50.68,177.12,7512,58,25
50.29,240.79,9787,59,25
48.38,241.64,9949,61,25
49.76,230.08,9938,58,25
49.59,187.60,7914,56,25
50.23,228.22,9969,58,25
50.53,245.39,9774,58,25
48.58,245.71,9860,61,25
51.79,205.58,9073,55,25
50.44,241.12,9860,58,25
50.92,169.56,6961,58,25
49.31,227.09,9570,58,25
48.08,239.68,9863,58,25
50.02,188.97,7966,57,25
49.96,182.41,9960,58,25
49.13,228.38,9124,59,25
50.06,101.33,7408,58,25
49.48,230.45,9901,59,25
50.12,228.84,9623,59,25
47.53,242.71,9868,61,25
49.09,249.21,9986,58,25
50.41,218.53,9697,57,25
50.70,191.69,7708,59,25
49.28,245.14,9990,61,25
49.47,208.59,9092,59,25
51.17,158.29,7084,56,25
51.30,161.56,7170,57,25
48.59,232.06,9949,58,25
48.74,221.25,9933,60,25
48.46,240.15,9946,61,25
49.60,225.03,9828,57,25
47.09,242.48,9996,61,25
51.45,178.96,7905,58,25
49.02,191.82,7671,58,25
48.98,218.05,9285,58,25
49.20,210.14,9589,56,25
48.41,223.13,9779,58,25
50.10,190.39,7922,61,25
48.37,223.09,9668,58,25
48.18,224.67,9537,58,25
48.23,225.82,9986,59,25
47.93,229.99,9985,59,25
48.69,176.85,7406,58,25
49.82,226.63,9983,62,25
50.55,129.87,6071,56,25
50.28,163.15,6872,57,25
47.86,135.83,9303,59,25
48.73,196.45,8715,59,25
52.31,147.07,6551,58,25
49.09,230.78,9721,58,25
