F,t,#ev,,ap
46.62,178.88,7130,64,25
48.63,77.10,2775,59,25
49.42,155.31,5953,59,25
48.62,200.34,7485,61,25
46.84,160.91,6231,62,25
47.85,117.53,4418,62,25
48.07,252.94,9903,60,25
47.46,135.41,4947,60,25
47.06,163.67,6078,61,25
47.04,140.31,5287,60,25
48.03,146.12,5543,60,25
46.24,170.71,6423,62,25
46.24,126.20,4558,61,25
46.36,131.55,5083,60,25
47.92,142.67,5242,62,25
47.19,163.03,6185,61,25
48.26,114.53,4305,59,25
49.22,102.78,3739,59,25
48.29,119.30,4621,59,25
46.81,134.07,5172,62,25
45.73,183.02,7200,63,25
47.57,186.81,7100,62,25
48.56,88.17,4171,58,25
48.29,137.97,5259,61,25
48.81,128.40,5001,60,25
48.14,120.20,4475,60,25
46.94,151.84,5528,59,25
46.52,234.41,9523,64,25
47.83,86.56,3159,58,25
47.75,122.43,4633,60,25
49.69,127.23,4601,59,25
49.02,109.50,3947,60,25
47.77,138.05,5317,61,25
48.04,111.94,4027,60,25
49.32,155.71,6102,60,25
47.05,116.10,4320,61,25
46.38,198.32,7394,64,25
47.48,176.54,6708,61,25
48.32,110.83,4450,60,25
47.54,118.68,4350,60,25
46.91,152.38,5905,62,25
46.44,236.84,8942,65,25
48.84,132.43,4882,58,25
46.73,167.94,6469,59,25
47.02,185.91,7026,64,25
47.01,218.91,8332,62,25
47.58,149.74,5502,62,25
46.94,150.91,5574,62,25
49.45,130.79,4516,60,25
48.43,182.25,6342,63,25
48.25,136.23,5172,61,25
47.02,124.99,4779,62,25
48.00,96.64,4634,60,25
48.89,155.88,5970,61,25
48.89,140.52,5407,61,25
48.90,82.92,2890,58,25
49.01,93.52,3370,58,25
47.86,98.74,3582,60,25
47.93,116.82,4477,59,25
48.81,143.84,5444,60,25
47.75,127.01,4827,61,25
50.13,67.74,2483,60,25
49.77,96.49,3682,60,25
48.10,184.33,6934,62,25
47.18,158.36,6062,63,25
47.23,187.58,7476,61,25
47.92,114.62,4262,62,25
48.55,137.13,5228,59,25
46.81,180.63,7182,65,25
49.65,88.86,3422,60,25
47.90,135.91,5076,62,25
47.50,145.66,6170,60,25
49.32,133.52,4998,62,25
49.36,83.86,3251,60,25
47.74,203.21,8064,62,25
48.04,158.01,5890,59,25
47.54,170.72,6500,63,25
49.32,79.88,2916,60,25
47.07,209.91,7776,64,25
48.24,77.26,3179,60,25
48.29,149.92,6433,60,25
