F,t,#ev,,ap
48.339,259.749,10000,59,25
48.8398,254.852,10000,59,25
47.4627,236.374,10000,60,25
48.9703,244.797,10000,61,25
47.7477,209.668,10000,58,25
49.1254,219.416,10000,57,25
47.3148,247.267,10000,61,25
47.1994,218.668,10000,57,25
51.1698,235.603,10000,57,25
46.8576,234.181,10000,58,25
46.2894,229.814,10000,57,25
46.8425,225.295,10000,57,25
48.5637,255.149,10000,58,25
48.8504,235.852,10000,60,25
46.8949,237.012,10000,59,25
48.6781,228.517,10000,58,25
49.0594,224.295,10000,56,25
47.1613,233.818,10000,57,25
48.0432,212.01,10000,57,25
49.0006,230.622,10000,59,25
48.7698,243.487,10000,58,25
48.185,254.188,10000,59,25
48.1277,181.53,10000,57,25
47.5284,260.765,10000,59,25
47.4336,245.378,10000,59,25
47.9348,257.797,10000,59,25
47.04,223.242,10000,59,25
46.6304,229.453,10000,58,25
47.3466,211.795,10000,57,25
46.0047,243.859,10000,60,25
50.3051,241.202,10000,57,25
48.2094,234.633,10000,57,25
47.4457,212.663,10000,59,25
47.1934,227.427,10000,59,25
47.9224,211.521,10000,59,25
47.673,232.965,10000,59,25
47.0212,258.261,10000,63,25
47.6617,216.166,10000,60,25
49.723,222.459,10000,57,25
47.8165,268.001,10000,59,25
46.5647,219.983,10000,58,25
48.4971,242.955,10000,59,25
48.6254,269.09,10000,60,25
48.9854,236.962,10000,60,25
48.2007,222.999,10000,58,25
50.0329,228.915,10000,59,25
47.3257,238.248,10000,57,25
48.9251,210.504,10000,57,25
47.5008,250.592,10000,59,25
48.4282,211.081,10000,59,25
48.3915,242.734,10000,58,25
48.2456,228.525,10000,60,25
48.6584,215.106,10000,59,25
47.1817,232.764,10000,59,25
49.9402,226.668,10000,58,25
48.6289,230.418,10000,58,25
49.9483,241.912,10000,59,25
48.1983,228.063,10000,58,25
48.0649,242.236,10000,57,25
48.6837,262.807,10000,59,25
47.5584,214.659,10000,59,25
48.2871,225.648,10000,59,25
47.4086,227.13,10000,60,25
49.2934,237.724,10000,58,25
47.8694,242.725,10000,60,25
47.5242,234.248,10000,59,25
48.9811,211.739,10000,59,25
48.133,229.868,10000,60,25
48.538,230.383,10000,57,25
47.5504,234.891,10000,60,25
46.8896,212.832,10000,58,25
47.7401,247.672,10000,60,25
47.494,248.517,10000,60,25
47.9801,223.819,10000,60,25
49.4803,230.987,10000,58,25
48.9276,244.381,10000,60,25
48.0384,237.98,10000,59,25
49.8853,226.72,10000,58,25
46.5312,219.176,10000,58,25
48.0632,226.119,10000,58,25
47.2952,215.343,10000,59,25
49.1619,211.9,10000,58,25
47.7811,192.304,10000,60,25
48.8984,239.814,10000,61,25
48.5173,226.09,10000,61,25
48.1356,234.487,10000,59,25
47.4185,258.004,10000,59,25
50.2508,245.56,10000,58,25
49.1016,219.926,10000,57,25
49.436,246.541,10000,60,25
47.6818,237.023,10000,61,25
46.372,217.693,10000,59,25
48.8988,232.825,10000,60,25
48.9918,235.313,10000,58,25
48.7849,220.741,10000,60,25
47.9032,228.901,10000,61,25
48.9265,252.92,10000,59,25
46.447,262.209,10000,61,25
48.3409,268.101,10000,60,25
47.7594,220.735,10000,58,25
46.7787,237.748,10000,58,25
48.9654,229.647,10000,60,25
47.5885,249.909,10000,60,25
47.509,210.617,10000,61,25
47.5665,244.337,10000,60,25
47.8372,219.8,10000,60,25
49.6277,231.513,10000,56,25
46.8691,230.087,10000,59,25
49.3264,246.694,10000,57,25
48.142,239.816,10000,61,25
47.8838,207.898,10000,58,25
