F,t,#ev,,ap
47.8604,238.775,10000,60,25
48.4465,222.714,10000,57,25
47.8384,232.369,10000,59,25
48.5182,239.912,10000,60,25
48.5747,208.576,10000,57,25
48.5804,213.343,10000,56,25
48.3801,223.932,10000,58,25
49.5139,226.22,10000,57,25
47.1956,211.284,10000,59,25
47.5868,233.986,10000,57,25
48.5797,223.619,10000,62,25
48.4089,216.198,10000,59,25
50.0405,216.267,10000,57,25
49.8754,220.997,10000,55,25
47.0974,244.542,10000,59,25
47.4058,232.191,10000,58,25
46.5737,228.643,10000,60,25
47.6976,215.283,10000,57,25
46.5844,236.204,10000,59,25
47.3028,202.712,10000,58,25
48.9568,168.276,10000,58,25
47.9781,216.165,10000,59,25
47.4232,133.917,10000,59,25
49.2953,215.347,10000,58,25
47.6367,208.395,10000,57,25
48.9615,221.415,10000,59,25
49.7904,201.082,10000,56,25
48.6718,224.267,10000,58,25
47.7918,215.49,10000,58,25
49.2186,249.655,10000,60,25
49.268,222.933,10000,59,25
49.9287,227.471,10000,58,25
49.3087,202.637,10000,57,25
48.3986,217.986,10000,60,25
48.678,226.41,10000,59,25
48.0907,219.673,10000,59,25
47.9502,216.53,10000,59,25
48.8885,224.056,10000,59,25
47.5434,248.459,10000,60,25
47.3745,227.742,10000,59,25
48.4525,228.9,10000,59,25
49.1303,207.611,10000,58,25
48.9171,215.168,10000,58,25
48.975,223.99,10000,58,25
47.958,258.781,10000,58,25
48.7869,203.844,10000,58,25
48.1819,237.152,10000,59,25
48.4025,229.671,10000,58,25
47.9268,211.892,10000,57,25
50.3129,180.449,10000,58,25
48.6797,138.23,10000,59,25
48.7188,211.302,10000,60,25
50.195,141.865,10000,59,25
48.7707,228.577,10000,61,25
49.1836,201.967,10000,56,25
50.1354,204.33,10000,61,25
48.3323,239.576,10000,59,25
47.645,225.256,10000,59,25
47.3595,222.692,10000,59,25
51.2026,216.884,10000,60,25
49.709,192.045,10000,58,25
48.6806,216.957,10000,58,25
46.9751,218.429,10000,59,25
48.5011,248.929,10000,58,25
48.6549,218.513,10000,56,25
49.5688,229.711,10000,59,25
47.7178,217.89,10000,59,25
48.4304,225.254,10000,60,25
48.0578,221.926,10000,58,25
47.7791,229.479,10000,59,25
49.2139,224.863,10000,58,25
49.4408,224.483,10000,58,25
49.121,217.865,10000,59,25
49.362,228,10000,61,25
49.6584,220.74,10000,58,25
48.5888,216.044,10000,59,25
48.7775,191.689,10000,59,25
48.3208,212.274,10000,60,25
48.5499,184.693,10000,59,25
46.7286,195.015,10000,59,25
47.2015,142.326,10000,58,25
49.181,213.067,10000,60,25
49.1935,119.556,10000,58,25
49.673,224.006,10000,56,25
47.9243,217.145,10000,59,25
47.8703,216.426,10000,58,25
47.1096,221.661,10000,59,25
47.852,210.941,10000,58,25
48.9142,237.874,10000,59,25
48.6663,209.152,10000,58,25
49.2726,217.686,10000,58,25
48.8238,242.211,10000,59,25
47.2278,228.313,10000,58,25
47.0336,215.362,10000,59,25
48.3213,250.69,10000,58,25
49.3052,231.265,10000,61,25
46.6834,236.544,10000,59,25
47.1737,240.341,10000,59,25
47.483,215.158,10000,60,25
48.1485,226.093,10000,59,25
48.0082,226.659,10000,59,25
48.6201,207.212,10000,59,25
48.3701,238.847,10000,59,25
49.1744,214.438,10000,61,25
47.6876,224.804,10000,59,25
47.9978,237.492,10000,59,25
47.957,241.366,10000,60,25
47.4204,233.707,10000,61,25
48.3595,197.239,10000,57,25
46.9747,167.282,10000,57,25
47.7632,141.163,10000,58,25
49.7104,236.758,10000,59,25
49.4854,118.142,10000,59,25
47.2908,214.881,10000,58,25
47.603,246.188,10000,61,25
47.4503,216.748,10000,58,25
48.0857,199.069,10000,58,25
48.7039,221.42,10000,59,25
49.4602,234.958,10000,59,25
48.3146,225.923,10000,61,25
47.226,220.909,10000,59,25
47.8104,204.971,10000,60,25
48.6607,240.633,10000,59,25
50.2959,242.918,10000,58,25
49.763,208.248,10000,58,25
48.6098,211.826,10000,59,25
48.0512,232.7,10000,62,25
47.387,235.275,10000,61,25
48.0891,240.695,10000,61,25
48.0142,230.271,10000,61,25
47.3321,243.792,10000,59,25
49.4641,217.441,10000,61,25
47.6758,214.549,10000,60,25
48.9543,230.757,10000,59,25
48.0126,223.724,10000,59,25
46.9695,222.042,10000,61,25
49.0063,245.828,10000,60,25
47.523,228.616,10000,59,25
49.9054,261.434,10000,59,25
46.9597,196.435,10000,60,25
47.8307,174.016,10000,60,25
47.5161,228.467,10000,59,25
46.9883,133.807,10000,60,25
49.0329,226.71,10000,60,25
48.8543,236.933,10000,59,25
48.8646,190.297,10000,57,25
48.8559,219.594,10000,59,25
48.5831,228.367,10000,59,25
47.4759,237.68,10000,58,25
48.347,236.81,10000,59,25
47.8135,218.031,10000,58,25
47.9115,225.302,10000,61,25
47.9506,234.232,10000,60,25
47.5294,243.183,10000,63,25
49.3719,241.983,10000,59,25
46.9388,214.451,10000,61,25
46.3392,237.042,10000,60,25
47.5296,219.47,10000,60,25
48.1725,220.802,10000,60,25
47.2409,239.393,10000,61,25
48.1914,228.147,10000,57,25
48.8494,211.305,10000,58,25
48.442,238.954,10000,60,25
48.358,233.955,10000,59,25
47.9313,244.915,10000,58,25
50.4717,209.518,10000,58,25
47.8626,235.303,10000,60,25
48.089,253.47,10000,58,25
47.497,189.966,10000,60,25
48.5015,171.381,10000,58,25
47.8167,142.302,10000,58,25
48.1445,224.648,10000,59,25
46.8782,133.705,10000,61,25
47.5146,239.535,10000,58,25
48.5353,243.506,10000,60,25
48.3067,215.842,10000,61,25
47.8831,238.678,10000,60,25
48.0247,217.62,10000,60,25
48.8463,237.138,10000,57,25
48.1759,217.332,10000,61,25
48.2325,192.058,10000,61,25
46.9966,234.838,10000,57,25
47.2183,217.946,10000,58,25
47.7434,235.859,10000,56,25
46.5011,220.691,10000,57,25
47.7347,241.928,10000,61,25
46.9999,229.955,10000,58,25
47.8844,223.89,10000,61,25
47.4505,221.736,10000,59,25
46.2187,212.332,10000,58,25
46.3274,224.562,10000,58,25
47.635,233.227,10000,59,25
47.1679,224.2,10000,59,25
47.0042,233.318,10000,58,25
47.5505,238.267,10000,61,25
47.0939,225.015,10000,57,25
46.6851,213.152,10000,59,25
49.333,238.585,10000,60,25
46.8383,200.579,10000,57,25
47.6055,169.231,10000,57,25
46.7395,136.219,10000,58,25
48.9714,237.707,10000,59,25
48.1014,129.79,10000,58,25
46.8542,219.844,10000,57,25
47.0054,228.829,10000,59,25
47.7316,217.951,10000,58,25
49.7788,209.344,10000,59,25
47.3814,217.25,10000,59,25
47.692,213.411,10000,56,25
48.7051,250.58,10000,59,25
47.4996,217.534,10000,61,25
48.5582,223.942,10000,58,25
49.7319,219.058,10000,57,25
47.145,229.019,10000,62,25
48.5232,253.766,10000,59,25
48.2096,214.448,10000,58,25
48.0603,224.863,10000,58,25
47.1495,257.677,10000,61,25
48.407,209.059,10000,58,25
50.3139,224.065,10000,57,25
48.58,247.991,10000,59,25
48.6483,227.798,10000,59,25
47.3299,248.276,10000,61,25
48.113,240.489,10000,59,25
46.8254,243.377,10000,60,25
47.307,225.075,10000,59,25
48.4206,224.415,10000,56,25
47.3164,245.488,10000,60,25
49.5211,233.272,10000,55,25
50.2064,176.217,10000,60,25
50.3611,138.073,10000,59,25
50.1487,214.635,10000,58,25
48.9615,136.615,10000,58,25
48.3528,232.348,10000,60,25
48.394,236.991,10000,60,25
47.2015,223.078,10000,60,25
48.2451,212.024,10000,59,25
50.4504,210.603,10000,59,25
47.5001,231.174,10000,58,25
47.0781,243.627,10000,60,25
50.1519,243.494,10000,59,25
49.1152,229.474,10000,58,25
49.5088,216.626,10000,57,25
50.023,225.097,10000,58,25
48.4183,231.507,10000,61,25
47.9031,232.909,10000,60,25
48.0969,216.142,10000,58,25
49.1356,231.167,10000,58,25
48.5454,233.838,10000,59,25
49.0471,247.085,10000,57,25
49.8631,238.104,10000,60,25
48.7541,235.865,10000,62,25
49.3598,209.035,10000,58,25
49.9047,226.173,10000,58,25
50.0802,229.274,10000,57,25
48.02,234.391,10000,59,25
49.686,213.515,10000,56,25
48.178,235.224,10000,59,25
49.3465,223.914,10000,55,25
49.3985,203.963,10000,60,25
48.6589,148.448,10000,59,25
50.0029,215.762,10000,59,25
49.4656,129.413,10000,58,25
51.0655,221.943,10000,58,25
52.4436,202.414,10000,58,25
49.8582,220.94,10000,60,25
48.4977,229.198,10000,59,25
50.7829,223.606,10000,58,25
50.1572,230.358,10000,56,25
48.1429,231.713,10000,60,25
49.4728,247.895,10000,60,25
49.7756,233.284,10000,59,25
49.5609,228.315,10000,59,25
52.1426,222.674,10000,57,25
48.4119,225.987,10000,60,25
49.0614,222.896,10000,59,25
