F,t,#ev,,ap
46.6248,247.382,10000,66,25
47.8371,267.366,10000,66,25
47.4443,262.87,10000,62,25
48.6188,260.589,10000,62,25
46.8229,253.258,10000,65,25
47.1319,247.504,10000,65,25
48.0679,272.377,10000,60,25
47.4603,267.923,10000,63,25
47.0608,255.852,10000,63,25
47.0385,242.653,10000,63,25
48.0159,254.082,10000,61,25
46.151,276.538,10000,64,25
46.243,262.923,10000,65,25
46.3566,256.683,10000,63,25
47.3549,251.994,10000,65,25
47.1927,254.768,10000,63,25
47.6263,263.397,10000,64,25
48.0457,248.968,10000,62,25
47.2877,249.667,10000,62,25
46.5309,248.563,10000,65,25
45.3236,227.092,10000,65,25
47.306,250.723,10000,64,25
47.1944,184.269,10000,63,25
47.4286,242.755,10000,64,25
47.46,243.885,10000,64,25
46.8895,241.234,10000,62,25
45.9432,262.382,10000,63,25
46.5161,234.951,10000,64,25
46.5158,255.978,10000,63,25
46.8532,264.254,10000,62,25
48.3546,254.818,10000,63,25
47.4136,269.23,10000,64,25
47.6666,263.757,10000,64,25
48.044,268.545,10000,63,25
47.7178,251.549,10000,63,25
46.1496,261.903,10000,65,25
46.3764,261.867,10000,64,25
47.4836,266.935,10000,62,25
45.8265,246.384,10000,66,25
45.8988,256.516,10000,65,25
46.7205,258.244,10000,65,25
46.4384,264.75,10000,66,25
46.4591,248.743,10000,63,25
46.7282,252.293,10000,61,25
47.0158,264.65,10000,65,25
47.0125,266.511,10000,64,25
46.8179,253.873,10000,66,25
46.5041,259.966,10000,66,25
48.5291,271.267,10000,64,25
47.5108,257.228,10000,65,25
47.7959,240.273,10000,64,25
45.5629,233.728,10000,67,25
47.3587,184.271,10000,64,25
46.7983,254.117,10000,65,25
48.4199,265.645,10000,65,25
46.369,250.227,10000,63,25
48.3538,268.07,10000,61,25
47.6155,265.943,10000,64,25
47.6119,254.622,10000,62,25
47.3917,269.252,10000,62,25
45.6594,260.156,10000,65,25
47.7211,261.664,10000,68,25
46.9868,262.682,10000,66,25
47.847,267.656,10000,64,25
46.7747,246.446,10000,66,25
46.7902,240.003,10000,62,25
47.8524,236.092,10000,66,25
46.967,253.152,10000,64,25
46.2534,241.24,10000,69,25
49.6511,247.058,10000,65,25
47.8361,244.859,10000,65,25
47.4988,237.617,10000,62,25
48.7976,279.04,10000,66,25
47.8111,252.352,10000,64,25
47.735,248.587,10000,63,25
48.0384,254.597,10000,62,25
47.5394,261.581,10000,65,25
48.7277,274.881,10000,65,25
47.0729,257.956,10000,67,25
47.0019,236.599,10000,63,25
46.8328,191.293,10000,63,25
47.9986,269.408,10000,65,25
47.7004,167.256,10000,64,25
47.6857,259.314,10000,66,25
46.1558,231.544,10000,63,25
46.3156,273.424,10000,65,25
47.0388,252.384,10000,68,25
45.6113,254.503,10000,67,25
48.5062,247.003,10000,65,25
47.9527,256.343,10000,63,25
49.2723,234.798,10000,60,25
48.4685,261.448,10000,66,25
47.8917,244.63,10000,65,25
47.6984,250.151,10000,63,25
47.4053,256.871,10000,68,25
47.774,264.166,10000,65,25
48.243,262.144,10000,62,25
48.2805,261.24,10000,64,25
47.0119,250.94,10000,65,25
47.6512,263.449,10000,63,25
48.0049,273.135,10000,62,25
48.7519,252.976,10000,62,25
49.861,250.539,10000,64,25
48.1398,275.795,10000,65,25
49.7648,286.518,10000,61,25
47.6967,272.838,10000,65,25
48.5681,266.415,10000,65,25
48.9299,263.792,10000,63,25
46.8829,252.143,10000,67,25
48.1997,247.335,10000,63,25
47.5562,190.464,10000,62,25
47.2927,257.23,10000,65,25
46.9323,178.454,10000,65,25
47.0473,261.259,10000,65,25
46.8455,249.707,10000,65,25
48.28,248.847,10000,62,25
47.6584,250.057,10000,65,25
49.131,261.633,10000,63,25
49.9433,275.784,10000,62,25
46.1192,257.794,10000,68,25
46.8891,253.505,10000,65,25
47.2347,268.359,10000,64,25
48.7823,244.577,10000,64,25
47.9102,264.752,10000,62,25
47.6602,258.917,10000,64,25
46.7249,279.071,10000,66,25
48.1387,247.63,10000,63,25
48.7956,264.243,10000,66,25
48.4213,241.609,10000,62,25
47.1433,258.338,10000,64,25
47.1549,269.543,10000,64,25
45.5658,240.693,10000,63,25
48.0827,266.651,10000,64,25
47.769,258.426,10000,64,25
47.4573,260.024,10000,63,25
47.2754,252.007,10000,62,25
47.1206,257.821,10000,67,25
47.0674,251.418,10000,64,25
48.8256,254.988,10000,64,25
48.9396,244.025,10000,64,25
46.7365,228.951,10000,65,25
46.9399,255.091,10000,64,25
48.1278,192.566,10000,65,25
47.239,274.561,10000,64,25
46.4254,259.239,10000,68,25
47.806,236.371,10000,64,25
48.0144,258.75,10000,64,25
48.0445,259.071,10000,63,25
46.9172,261.768,10000,62,25
48.0458,276.147,10000,63,25
47.0697,270.305,10000,62,25
47.3982,266.794,10000,66,25
47.8525,249.372,10000,63,25
48.309,257.508,10000,61,25
47.6885,256.475,10000,64,25
46.987,253.031,10000,64,25
47.0291,277.382,10000,62,25
49.9909,260.435,10000,61,25
48.5696,272.113,10000,63,25
47.6604,250.546,10000,63,25
48.1082,249.392,10000,66,25
48.9865,241.694,10000,61,25
48.7002,243.153,10000,61,25
48.813,252.192,10000,63,25
46.9739,243.496,10000,65,25
46.9543,255.563,10000,66,25
47.5422,271.431,10000,65,25
48.0895,273.607,10000,62,25
47.8367,257.546,10000,66,25
48.511,223.675,10000,64,25
48.6335,190.687,10000,63,25
46.9072,250.314,10000,63,25
47.2366,174.861,10000,64,25
47.3101,240.939,10000,63,25
47.5678,263.504,10000,64,25
47.9519,249.015,10000,62,25
47.2849,255.513,10000,64,25
47.6165,262.518,10000,59,25
47.182,260.322,10000,61,25
