F,t,#ev,,ap
43.81,67.84,9765,64,25
43.82,64.77,9988,72,25
43.48,64.92,9999,69,25
43.65,68.45,9750,68,25
43.54,69.51,9953,73,25
43.59,65.85,9992,65,25
44.22,61.49,8742,66,25
43.25,68.87,9776,72,25
43.43,68.02,9960,68,25
43.25,71.98,9997,71,25
43.71,64.86,8824,70,25
43.61,68.95,9871,70,25
43.54,60.69,8084,69,25
43.55,62.52,9122,72,25
43.63,64.86,9997,70,25
43.58,68.37,9957,65,25
43.76,63.60,9494,65,25
43.04,66.04,9849,73,25
43.61,67.75,9971,66,25
43.11,64.47,9818,69,25
43.63,60.32,9891,70,25
43.96,66.28,9999,65,25
43.55,64.01,9833,66,25
43.55,67.95,9947,71,25
43.19,64.80,9712,67,25
43.02,65.79,9972,67,25
43.52,68.16,9904,67,25
43.48,68.21,9912,72,25
43.76,62.34,8665,71,25
43.62,65.66,9882,72,25
43.59,66.54,9988,67,25
43.71,67.14,9986,66,25
43.98,64.61,9943,68,25
43.76,68.68,9983,72,25
44.35,67.40,9991,69,25
43.52,67.69,9878,72,25
43.50,69.33,9862,68,25
43.71,69.42,9978,72,25
43.45,65.91,9920,66,25
44.02,69.18,9964,70,25
44.05,66.81,9962,67,25
43.79,66.27,9848,65,25
43.66,64.93,9982,68,25
43.37,68.78,9936,70,24
43.88,65.36,9945,65,25
44.52,68.16,9997,67,25
43.94,66.19,9939,66,25
43.76,66.74,9998,72,25
44.08,65.84,9993,66,25
43.47,64.24,9758,67,25
44.11,64.63,9993,71,25
44.56,66.68,9988,66,25
44.38,60.80,9973,62,25
43.79,66.86,9978,67,25
43.84,66.70,9997,67,25
44.28,65.35,9992,65,25
43.64,67.42,9960,66,25
44.10,65.43,9979,68,25
43.46,64.82,9716,68,25
44.04,66.49,9980,67,25
43.84,61.44,9800,69,25
44.49,67.49,9907,66,25
43.64,66.40,9994,69,25
44.16,63.05,9866,66,25
44.15,70.06,9977,72,25
44.39,66.92,9985,70,25
43.55,66.74,9940,71,25
44.10,66.58,9170,71,25
43.83,66.31,9957,70,25
43.91,64.99,9912,75,25
44.55,64.10,9931,68,25
43.51,67.90,9966,74,25
43.85,65.41,9961,72,25
44.00,67.55,9990,69,25
44.04,66.71,9956,78,25
43.67,65.13,9886,68,25
43.91,63.86,9999,63,25
44.50,67.97,9898,75,25
44.16,65.71,9945,71,25
43.74,68.13,9899,73,25
44.01,60.83,9996,71,25
43.78,66.38,9766,72,25
44.24,51.87,9998,66,25
