F,t,#ev,,ap
43.59,36.97,6859,75,25
43.67,37.77,6627,70,25
43.59,39.26,7701,73,25
43.70,44.95,8573,80,25
44.61,38.15,7060,75,25
43.33,51.84,9563,76,25
43.70,48.92,9954,72,25
43.46,42.46,8115,76,25
43.75,54.46,9960,74,25
44.54,32.71,5576,75,25
43.62,53.75,9871,79,25
43.32,47.41,8954,79,25
43.60,38.52,6224,69,24
43.67,33.73,5838,73,25
43.92,39.04,7012,73,25
43.41,49.07,9567,76,25
43.73,45.50,8575,77,25
43.71,43.68,8361,75,25
43.55,41.44,7361,74,25
43.50,35.54,5720,69,25
43.87,45.13,9923,74,25
43.69,44.03,7583,76,24
44.09,40.35,6940,80,25
43.48,43.22,8066,77,25
43.79,46.52,8188,76,25
43.88,29.54,4893,70,25
43.57,42.25,7693,78,25
43.67,34.04,5134,74,25
44.10,55.04,9851,73,25
44.04,37.18,6682,73,25
45.06,51.36,9661,70,25
43.50,44.04,8035,77,25
44.08,49.73,9924,80,25
43.83,45.12,8597,74,25
44.00,49.28,9250,77,25
43.65,36.27,6247,70,25
43.55,48.55,9982,75,24
43.72,41.84,7104,76,25
43.99,26.95,4079,66,25
44.27,38.94,7274,73,25
44.20,33.80,6019,69,25
44.12,46.34,9088,73,25
43.98,38.37,6416,72,25
44.89,36.82,6080,74,24
44.71,47.52,9671,69,25
44.37,37.34,6763,71,25
45.48,38.14,6613,79,24
44.97,36.73,6066,75,24
44.24,39.44,7069,69,25
44.01,46.78,8524,74,25
44.75,41.11,8097,72,25
43.71,37.07,6577,75,25
45.24,50.50,9829,75,25
45.46,40.95,7514,80,24
44.76,49.91,9126,77,23
43.52,43.44,7753,72,25
43.81,43.80,8295,74,24
43.71,44.57,8597,77,25
45.38,40.21,7065,79,25
44.00,46.22,8465,74,25
43.98,47.50,8495,77,25
43.79,50.89,9567,80,25
44.11,36.31,6286,78,25
43.98,47.23,9233,74,25
44.72,44.53,8387,76,25
43.90,39.11,6752,68,25
43.59,39.21,7672,77,25
44.11,37.14,6710,77,25
44.31,41.16,7796,71,25
43.89,40.62,7678,72,25
44.39,39.55,7300,74,25
43.95,40.26,8011,78,25
45.38,41.74,6692,75,23
44.89,35.38,6634,74,25
45.17,30.27,5065,70,24
43.96,47.38,9735,77,25
44.35,47.05,8800,79,25
44.06,35.71,6351,73,25
43.63,30.52,4862,74,25
44.19,40.91,8204,73,25
44.09,38.11,7892,79,25
44.24,36.47,6102,76,25
43.99,33.75,8111,76,25
43.65,46.96,9287,76,25
43.60,44.49,8723,75,25
44.22,41.83,7933,79,24
43.94,41.06,6549,76,25
43.96,47.53,9660,75,25
44.02,41.88,7367,74,25
44.73,39.78,7167,74,25
43.93,39.62,7192,74,25
43.60,41.53,7553,75,25
43.86,41.58,6965,75,25
43.83,40.56,7885,82,25
44.18,48.68,9924,75,24
43.86,48.74,9665,74,25
43.75,43.36,8227,72,24
44.11,50.58,9637,75,25
44.20,48.95,9864,77,25
43.86,40.52,7529,73,25
44.05,32.49,5633,74,25
44.03,39.10,7817,77,24
44.25,46.32,9122,72,25
44.18,45.73,8236,85,25
44.67,41.23,7719,78,23
44.11,49.34,8963,83,25
44.23,35.67,6497,72,25
44.19,28.74,4721,70,25
43.67,42.40,7967,71,25
43.80,50.24,9918,73,25
44.02,44.86,9944,75,25
44.08,47.29,9258,78,25
44.34,24.82,5974,74,25
44.22,44.79,9015,75,25
