F,t,#ev,,ap
43.54,31.47,3828,88,25
43.24,39.41,5081,93,25
43.74,40.42,5380,84,25
44.27,38.20,5153,87,24
43.56,41.88,6417,93,25
43.08,41.62,5722,84,25
43.37,47.74,7543,90,24
43.36,46.76,6880,95,25
43.42,40.52,5386,86,25
43.77,39.42,5642,93,24
43.95,47.39,7305,93,24
44.42,35.68,4535,94,25
43.48,49.32,8024,94,24
43.78,39.68,5091,97,25
44.10,45.82,6829,93,25
43.86,46.24,7041,93,24
43.93,38.41,5877,84,25
43.69,40.38,5404,89,25
43.57,50.35,7409,87,25
44.38,44.95,6886,94,25
43.77,37.87,4786,89,25
44.81,39.16,5650,86,24
43.93,32.37,4871,92,25
43.48,40.81,5524,85,25
43.55,47.37,6697,99,25
43.56,35.94,4879,88,25
43.64,37.84,4501,86,25
43.29,36.88,4486,93,25
43.48,40.20,5321,91,24
43.65,39.61,5238,85,25
44.07,47.67,6843,90,25
43.83,44.89,6701,87,25
44.07,43.84,6383,84,25
43.36,49.78,7395,82,25
44.18,41.42,5324,88,25
43.46,43.45,6275,88,25
43.36,57.42,9774,85,25
43.87,51.86,8210,94,24
44.55,36.75,5209,92,25
44.01,43.10,6134,95,25
45.38,40.32,5472,88,25
43.83,44.05,6417,85,25
43.66,43.80,6304,87,25
44.63,45.04,6269,82,25
43.63,48.51,7197,83,25
43.71,43.13,6405,91,25
44.52,45.02,6178,91,25
44.60,41.97,5447,87,25
43.68,42.06,6319,93,25
44.25,46.50,6903,96,25
43.27,51.38,6846,87,24
44.15,40.89,5056,83,24
43.78,36.78,5244,90,25
44.54,38.38,5440,89,25
44.43,38.94,5204,86,25
43.49,34.94,4678,86,25
44.40,36.78,5149,90,25
43.86,50.25,7125,91,25
44.20,51.01,7657,99,25
44.42,41.73,5316,88,25
44.07,39.53,4722,90,25
43.79,34.51,4109,88,25
44.15,41.05,5510,87,25
44.13,34.35,4706,94,25
44.13,42.99,6576,91,24
44.25,41.97,5423,98,25
44.60,41.84,6038,100,23
44.23,49.01,7377,95,25
43.81,38.15,5435,86,25
44.36,34.37,4784,95,25
44.73,39.66,6016,85,24
43.68,34.63,4002,84,25
43.97,42.26,6278,91,25
44.27,35.73,4972,87,25
44.26,37.62,5229,88,25
43.96,45.35,6549,80,24
43.87,47.94,6687,89,24
44.90,33.79,4150,96,25
43.94,49.55,7383,93,25
43.80,46.42,6868,86,25
43.92,40.37,6055,87,25
44.18,42.94,6051,87,25
44.48,34.09,5804,97,25
44.99,35.09,3885,88,25
43.65,31.36,3738,87,25
44.21,40.92,6073,86,25
44.22,39.43,5181,93,25
43.78,32.99,4168,87,25
44.45,35.20,4813,95,25
43.89,41.90,5593,92,24
44.08,44.69,6782,91,24
44.39,51.65,8207,87,25
43.97,41.15,5239,93,24
44.49,40.77,5454,86,25
44.80,34.99,4544,93,25
43.42,46.46,6747,89,25
44.25,42.30,5965,91,25
45.20,40.56,5861,97,24
44.05,41.00,5472,87,25
44.49,33.69,4073,95,25
44.58,37.72,5210,96,25
44.16,36.19,4684,92,24
44.84,38.60,4978,89,24
43.68,36.87,4630,89,25
44.46,35.30,4482,83,25
44.18,46.66,6227,92,25
44.15,39.72,5444,96,25
43.94,44.59,6398,86,25
44.00,41.10,6150,94,25
44.52,34.14,4675,93,24
43.76,33.93,4742,92,25
44.42,37.12,5286,92,24
44.39,31.91,4842,85,25
44.30,46.22,6939,93,25
44.00,34.70,5757,95,25
44.59,43.10,5617,90,25
44.15,40.44,5792,88,25
43.88,43.17,6321,94,23
44.38,37.07,4095,93,25
43.94,42.65,6425,91,24
44.00,36.78,5689,95,25
44.12,37.38,5392,97,25
43.76,39.92,5740,93,25
44.58,33.05,3720,95,25
43.41,38.86,5525,89,25
43.81,35.88,4336,85,25
44.89,39.10,5703,89,25
44.66,34.73,4840,91,25
43.97,46.64,6279,91,25
43.90,44.02,6477,94,25
44.79,39.23,4947,89,25
44.09,34.43,3999,89,25
43.74,38.39,5799,85,25
43.81,38.98,4863,91,25
43.95,38.53,4929,91,25
44.18,41.35,5820,92,25
44.61,33.71,4313,88,25
44.22,40.07,5541,92,25
