F,t,#ev,,ap
43.8132,73.8873,10000,64,25
43.8226,63.6599,10000,72,25
43.4846,70.4182,10000,69,25
43.6526,66.6022,10000,68,25
43.5351,67.5913,10000,73,25
43.5858,59.7399,10000,65,25
43.6597,69.2927,10000,66,25
43.2464,82.9556,10000,72,25
43.4296,62.21,10000,68,25
43.2527,64.0312,10000,71,25
43.5729,68.8528,10000,72,25
43.6129,67.3596,10000,70,25
43.4409,75.1513,10000,72,25
43.5521,61.3146,10000,72,25
43.6291,65.3275,10000,70,25
43.58,64.582,10000,65,25
43.7616,64.1519,10000,65,25
43.0416,61.3891,10000,73,25
43.6121,66.8471,10000,66,25
43.1067,72.0914,10000,69,25
43.6269,66.3802,10000,70,25
43.9599,64.0467,10000,65,25
43.5478,64.3334,10000,66,25
43.5469,76.361,10000,71,25
43.1923,64.544,10000,67,25
43.0173,61.0049,10000,67,25
43.5155,67.2169,10000,67,25
43.4766,63.6657,10000,72,25
43.7564,67.5922,10000,71,25
43.6164,67.061,10000,72,25
43.5905,66.2514,10000,67,25
43.712,76.0652,10000,66,25
43.9769,64.6712,10000,68,25
43.7628,66.4818,10000,72,25
44.3455,62.2986,10000,69,25
43.5223,66.7393,10000,72,25
43.5041,63.0134,10000,68,25
43.7117,77.5048,10000,72,25
43.447,65.1797,10000,66,25
44.0182,79.4385,10000,70,25
44.0524,64.2967,10000,67,25
43.7874,64.8434,10000,65,25
43.66,59.7458,10000,68,25
43.3699,64.5839,10000,70,24
43.88,69.3497,10000,65,25
44.5165,64.9219,10000,67,25
43.9375,65.5409,10000,66,25
43.7603,60.9003,10000,72,25
44.0791,60.7042,10000,66,25
43.4727,68.6679,10000,67,25
44.1101,69.8709,10000,71,25
44.5588,70.3352,10000,66,25
44.3766,61.6886,10000,62,25
43.7887,61.6006,10000,67,25
43.8419,65.9454,10000,67,25
44.2793,66.4595,10000,65,25
43.6425,62.3723,10000,66,25
44.1001,61.9337,10000,68,25
43.4631,63.5966,10000,68,25
44.0375,65.27,10000,67,25
43.8403,61.0935,10000,69,25
44.4892,59.497,10000,66,25
43.6393,59.3244,10000,69,25
44.1621,60.1461,10000,66,25
44.1476,63.6469,10000,72,25
44.3901,61.4757,10000,70,25
43.5458,63.1737,10000,71,25
44.1014,68.8839,10000,71,25
43.8341,62.3681,10000,70,25
43.9149,66.936,10000,75,25
44.553,61.0106,10000,68,25
43.5133,69.1033,10000,74,25
43.8489,67.0182,10000,72,25
44.0017,78.1351,10000,69,25
44.0414,63.6345,10000,78,25
43.6658,67.5538,10000,68,25
43.9142,62.46,10000,63,25
44.5033,72.6111,10000,75,25
44.156,69.4972,10000,71,25
43.7371,68.1807,10000,73,25
44.0052,61.0929,10000,71,25
43.7773,63.5325,10000,72,25
44.2407,62.9897,10000,66,25
43.75,59.7957,10000,76,25
43.7926,65.1806,10000,71,25
43.8435,68.4224,10000,67,25
43.7664,62.2236,10000,71,25
44.4005,65.9374,10000,68,25
44.3408,66.9575,10000,70,25
44.6486,73.6196,10000,69,25
44.3039,74.3187,10000,71,25
43.9553,65.8211,10000,69,25
43.9592,57.502,10000,70,25
43.7442,68.6771,10000,68,25
44.044,64.5443,10000,70,25
43.7944,67.7237,10000,70,25
43.9643,61.2513,10000,70,25
43.9637,66.451,10000,64,25
43.7867,67.9801,10000,68,25
44.0573,67.8856,10000,67,25
44.1317,60.2195,10000,65,25
44.0474,62.3432,10000,71,25
43.994,65.286,10000,71,25
43.9253,69.7639,10000,68,25
44.1287,65.2382,10000,67,25
