F,t,#ev,,ap
43.2583,54.4512,10000,91,25
43.2444,60.9006,10000,93,24
43.6703,60.6444,10000,85,25
43.3333,60.4413,10000,86,24
43.3703,61.264,10000,94,25
42.9499,63.0929,10000,89,25
43.2891,63.723,10000,89,24
43.2802,55.4585,10000,93,25
43.397,56.8559,10000,86,25
43.5249,63.0325,10000,96,23
43.7251,65.2164,10000,94,25
44.3376,60.9895,10000,97,24
43.421,56.8523,10000,95,24
43.6125,55.2095,10000,98,25
43.9043,53.6573,10000,92,25
43.8556,62.605,10000,91,25
43.6794,53.7236,10000,87,25
43.3943,66.0189,10000,91,25
43.5416,58.4839,10000,89,25
43.6335,68.5888,10000,90,25
43.7377,62.8098,10000,93,25
43.4365,54.6622,10000,86,24
43.6483,53.0952,10000,92,24
43.4769,63.327,10000,89,25
43.4799,56.7991,10000,99,24
43.4763,61.3177,10000,88,25
43.5232,63.0048,10000,90,25
43.0398,60.1642,10000,90,25
43.3935,60.0852,10000,92,25
43.5012,70.5257,10000,89,24
43.9832,57.7654,10000,91,25
43.5509,69.9516,10000,89,25
43.7366,61.3942,10000,84,25
43.2374,71.8661,10000,84,25
44.0148,62.2137,10000,90,24
43.2935,58.2023,10000,91,25
43.3576,52.4404,10000,85,25
43.8647,54.4985,10000,92,24
44.5544,54.0396,10000,93,25
43.8306,64.4765,10000,93,25
45.3016,56.7429,10000,87,25
43.7582,61.7662,10000,84,25
43.6594,60.1603,10000,89,25
44.4635,63.5139,10000,85,25
43.5654,57.9408,10000,86,24
43.6433,54.4383,10000,92,25
43.9874,63.0247,10000,93,24
44.4601,59.3354,10000,85,24
43.6254,56.8194,10000,95,25
44.1053,63.5844,10000,95,25
43.2692,63.5359,10000,89,25
43.8729,59.1176,10000,82,24
43.306,68.0391,10000,88,25
44.3579,53.9006,10000,91,25
44.3563,60.5869,10000,87,25
43.4487,62.6189,10000,85,25
44.0038,53.1208,10000,91,24
43.8319,58.9314,10000,92,25
43.8896,56.4298,10000,100,25
43.5083,64.1957,10000,89,25
43.8902,57.6902,10000,93,25
43.7873,56.0121,10000,93,25
43.8402,62.2142,10000,87,25
44.0831,59.7484,10000,91,25
44.0742,58.4579,10000,91,24
43.9569,53.3897,10000,96,25
44.2991,65.2719,10000,99,25
44.0102,55.4356,10000,97,25
43.6562,62.766,10000,88,24
44.3482,53.322,10000,94,25
44.726,59.9214,10000,84,24
43.655,62.1406,10000,83,25
43.9571,57.767,10000,90,24
43.9513,60.0678,10000,89,24
43.837,56.6509,10000,91,25
43.6953,59.5909,10000,83,25
43.8732,59.5141,10000,86,25
44.2047,68.4968,10000,95,24
43.9351,62.4521,10000,93,25
43.7468,56.3297,10000,89,25
