F,t,#ev,,ap
43.4528,52.5516,10000,79,25
43.5957,56.0745,10000,73,25
43.5905,52.9202,10000,72,25
43.6577,53.0802,10000,83,25
44.2227,55.9843,10000,80,24
43.3325,54.0139,10000,75,25
43.7001,43.5821,10000,72,25
43.4646,57.0317,10000,76,25
43.7527,56.493,10000,74,25
44.1725,54.4323,10000,79,25
43.6233,50.1484,10000,79,25
43.193,48.1676,10000,79,25
43.4224,56.6765,10000,80,24
43.6464,49.3396,10000,75,25
43.8851,55.4376,10000,74,23
43.4123,55.3444,10000,74,24
43.375,56.4908,10000,81,25
43.7102,47.2935,10000,73,22
43.3665,51.2987,10000,76,25
43.267,48.4321,10000,74,25
43.8813,48.609,10000,75,25
43.5717,55.6836,10000,80,24
43.8829,53.9697,10000,84,23
43.4617,48.4067,10000,76,24
43.6749,46.3076,10000,76,25
43.3669,53.8588,10000,80,25
43.4215,46.8344,10000,80,25
43.3673,54.7846,10000,84,25
44.0988,48.9048,10000,73,25
43.6186,53.0157,10000,77,25
44.5194,56.8919,10000,75,25
43.2764,53.5007,10000,77,25
44.0835,52.7579,10000,80,25
43.7393,52.3395,10000,75,25
44.0042,51.64,10000,79,25
43.2427,55.2199,10000,76,25
43.5485,45.4385,10000,75,24
43.7176,53.1516,10000,82,24
43.4794,45.9933,10000,72,25
43.8426,55.3757,10000,76,25
44.0596,50.7797,10000,79,24
44.1128,50.5931,10000,73,25
43.8751,53.5656,10000,76,25
44.7578,48.9811,10000,79,24
44.1386,55.1034,10000,77,25
44.375,59.2027,10000,74,25
45.4762,49.846,10000,81,24
44.8084,57.2519,10000,81,22
43.9127,57.92,10000,75,25
44.0102,56.1165,10000,74,25
44.3224,58.3984,10000,76,23
43.695,49.305,10000,76,25
45.2445,52.4536,10000,75,25
44.963,58.2362,10000,81,24
44.6652,50.6994,10000,80,23
43.2201,48.0513,10000,73,25
43.6457,53.9033,10000,76,24
43.6315,52.4216,10000,80,25
45.2583,49.5723,10000,87,24
44.0025,52.434,10000,74,25
43.9241,47.6756,10000,78,25
43.7254,46.659,10000,82,25
43.9415,46.591,10000,83,25
43.9698,53.8698,10000,74,25
44.7155,49.8019,10000,74,25
43.8181,51.7904,10000,71,24
43.4099,48.581,10000,77,25
43.9446,50.4037,10000,80,25
44.1349,51.59,10000,73,25
43.8217,52.3653,10000,73,25
44.345,56.3969,10000,78,24
43.954,48.9082,10000,79,25
44.6767,48.8497,10000,87,24
44.5666,47.7758,10000,81,25
44.8848,57.5689,10000,75,23
43.957,58.3693,10000,77,25
44.3458,52.3182,10000,80,25
43.986,45.6627,10000,77,25
43.3384,48.7726,10000,81,25
44.0129,59.1241,10000,75,23
43.9693,56.4852,10000,83,25
43.8351,54.5948,10000,83,24
43.9929,55.3544,10000,78,25
43.6514,48.9712,10000,76,25
43.6028,48.3554,10000,75,23
43.9767,52.0248,10000,83,25
43.9066,53.9162,10000,79,25
43.9586,48.152,10000,75,25
43.955,52.3357,10000,75,25
44.212,48.8096,10000,82,25
43.705,49.0602,10000,83,25
43.5519,48.0174,10000,79,24
43.7568,48.018,10000,77,25
43.8079,51.5293,10000,82,25
44.1777,50.9378,10000,75,24
43.8633,45.684,10000,73,24
43.6874,46.5117,10000,73,25
44.1075,53.9336,10000,75,24
44.2045,46.881,10000,77,25
43.858,53.3171,10000,79,25
43.9136,48.1027,10000,80,25
44.0346,46.3175,10000,83,24
44.2435,56.8543,10000,72,25
